"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","43.5","-6000","SA Spurs - CLE Cavaliers"
"2","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","43.5","+1100","SA Spurs - CLE Cavaliers"
"3","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","44.5","-3500","SA Spurs - CLE Cavaliers"
"4","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","44.5","+950","SA Spurs - CLE Cavaliers"
"5","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","45.5","-2000","SA Spurs - CLE Cavaliers"
"6","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","45.5","+750","SA Spurs - CLE Cavaliers"
"7","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","46.5","-1400","SA Spurs - CLE Cavaliers"
"8","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","46.5","+600","SA Spurs - CLE Cavaliers"
"9","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","47.5","-1000","SA Spurs - CLE Cavaliers"
"10","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","47.5","+500","SA Spurs - CLE Cavaliers"
"11","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","48.5","-700","SA Spurs - CLE Cavaliers"
"12","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","48.5","+425","SA Spurs - CLE Cavaliers"
"13","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","49.5","-525","SA Spurs - CLE Cavaliers"
"14","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","49.5","+340","SA Spurs - CLE Cavaliers"
"15","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","50.5","-400","SA Spurs - CLE Cavaliers"
"16","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","50.5","+270","SA Spurs - CLE Cavaliers"
"17","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","51.5","-310","SA Spurs - CLE Cavaliers"
"18","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","51.5","+220","SA Spurs - CLE Cavaliers"
"19","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","52.5","-240","SA Spurs - CLE Cavaliers"
"20","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","52.5","+175","SA Spurs - CLE Cavaliers"
"21","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","53.5","-190","SA Spurs - CLE Cavaliers"
"22","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","53.5","+145","SA Spurs - CLE Cavaliers"
"23","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","54.5","-155","SA Spurs - CLE Cavaliers"
"24","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","54.5","+115","SA Spurs - CLE Cavaliers"
"25","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","56.5","+100","SA Spurs - CLE Cavaliers"
"26","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Under","56.5","-135","SA Spurs - CLE Cavaliers"
"27","SA Spurs","CLE Cavaliers","Alternate CLE Cavaliers Total Points - 2nd Half","Over","57.5","+125","SA Spurs - CLE Cavaliers"
