"","Home","Away","Bet","Outcome","Line","Odds","Matchup"
"1","HOU Rockets","PHO Suns","Spread 1st Half","PHO Suns","-3.5","-110","HOU Rockets - PHO Suns"
"2","HOU Rockets","PHO Suns","Spread 1st Half","HOU Rockets","+3.5","-110","HOU Rockets - PHO Suns"
"3","HOU Rockets","PHO Suns","1st Quarter / Moneyline","PHO Suns/PHO Suns",NA,"+105","HOU Rockets - PHO Suns"
"4","HOU Rockets","PHO Suns","1st Quarter / Moneyline","PHO Suns/HOU Rockets",NA,"+750","HOU Rockets - PHO Suns"
"5","HOU Rockets","PHO Suns","1st Quarter / Moneyline","Tie/HOU Rockets",NA,"+3500","HOU Rockets - PHO Suns"
"6","HOU Rockets","PHO Suns","1st Quarter / Moneyline","Tie/PHO Suns",NA,"+2200","HOU Rockets - PHO Suns"
"7","HOU Rockets","PHO Suns","1st Quarter / Moneyline","HOU Rockets/HOU Rockets",NA,"+450","HOU Rockets - PHO Suns"
"8","HOU Rockets","PHO Suns","1st Quarter / Moneyline","HOU Rockets/PHO Suns",NA,"+320","HOU Rockets - PHO Suns"
"9","HOU Rockets","PHO Suns","Moneyline / Total Points","PHO Suns / Over 224.5",NA,"+160","HOU Rockets - PHO Suns"
"10","HOU Rockets","PHO Suns","Moneyline / Total Points","HOU Rockets / Over 224.5",NA,"+500","HOU Rockets - PHO Suns"
"11","HOU Rockets","PHO Suns","Moneyline / Total Points","PHO Suns / Under 224.5",NA,"+175","HOU Rockets - PHO Suns"
"12","HOU Rockets","PHO Suns","Moneyline / Total Points","HOU Rockets / Under 224.5",NA,"+450","HOU Rockets - PHO Suns"
"13","HOU Rockets","PHO Suns","Total 1st Quarter","Over","55.5","-105","HOU Rockets - PHO Suns"
"14","HOU Rockets","PHO Suns","Total 1st Quarter","Under","55.5","-115","HOU Rockets - PHO Suns"
"15","HOU Rockets","PHO Suns","Moneyline 1st Quarter","PHO Suns",NA,"-165","HOU Rockets - PHO Suns"
"16","HOU Rockets","PHO Suns","Moneyline 1st Quarter","HOU Rockets",NA,"+140","HOU Rockets - PHO Suns"
"17","HOU Rockets","PHO Suns","Spread 1st Quarter","PHO Suns","-2","-110","HOU Rockets - PHO Suns"
"18","HOU Rockets","PHO Suns","Spread 1st Quarter","HOU Rockets","+2","-110","HOU Rockets - PHO Suns"
"19","HOU Rockets","PHO Suns","Half Time / Full Time","PHO Suns/HOU Rockets",NA,"+800","HOU Rockets - PHO Suns"
"20","HOU Rockets","PHO Suns","Half Time / Full Time","PHO Suns/PHO Suns",NA,"-155","HOU Rockets - PHO Suns"
"21","HOU Rockets","PHO Suns","Half Time / Full Time","Tie/HOU Rockets",NA,"+4000","HOU Rockets - PHO Suns"
"22","HOU Rockets","PHO Suns","Half Time / Full Time","Tie/PHO Suns",NA,"+2200","HOU Rockets - PHO Suns"
"23","HOU Rockets","PHO Suns","Half Time / Full Time","HOU Rockets/HOU Rockets",NA,"+310","HOU Rockets - PHO Suns"
"24","HOU Rockets","PHO Suns","Half Time / Full Time","HOU Rockets/PHO Suns",NA,"+360","HOU Rockets - PHO Suns"
"25","HOU Rockets","PHO Suns","3rd Quarter / Moneyline","PHO Suns/PHO Suns",NA,"+105","HOU Rockets - PHO Suns"
"26","HOU Rockets","PHO Suns","3rd Quarter / Moneyline","PHO Suns/HOU Rockets",NA,"+750","HOU Rockets - PHO Suns"
"27","HOU Rockets","PHO Suns","3rd Quarter / Moneyline","Tie/HOU Rockets",NA,"+3500","HOU Rockets - PHO Suns"
"28","HOU Rockets","PHO Suns","3rd Quarter / Moneyline","Tie/PHO Suns",NA,"+2200","HOU Rockets - PHO Suns"
"29","HOU Rockets","PHO Suns","3rd Quarter / Moneyline","HOU Rockets/HOU Rockets",NA,"+425","HOU Rockets - PHO Suns"
"30","HOU Rockets","PHO Suns","3rd Quarter / Moneyline","HOU Rockets/PHO Suns",NA,"+330","HOU Rockets - PHO Suns"
"31","HOU Rockets","PHO Suns","Spread Alternate","PHO Suns","-13.5","+245","HOU Rockets - PHO Suns"
"32","HOU Rockets","PHO Suns","Spread Alternate","HOU Rockets","+13.5","-360","HOU Rockets - PHO Suns"
"33","HOU Rockets","PHO Suns","Spread Alternate","PHO Suns","-13","+240","HOU Rockets - PHO Suns"
"34","HOU Rockets","PHO Suns","Spread Alternate","HOU Rockets","+13","-340","HOU Rockets - PHO Suns"
"35","HOU Rockets","PHO Suns","Spread Alternate","PHO Suns","-12.5","+215","HOU Rockets - PHO Suns"
"36","HOU Rockets","PHO Suns","Spread Alternate","HOU Rockets","+12.5","-300","HOU Rockets - PHO Suns"
"37","HOU Rockets","PHO Suns","Spread Alternate","PHO Suns","-12","+205","HOU Rockets - PHO Suns"
"38","HOU Rockets","PHO Suns","Spread Alternate","HOU Rockets","+12","-285","HOU Rockets - PHO Suns"
"39","HOU Rockets","PHO Suns","Spread Alternate","PHO Suns","-11.5","+185","HOU Rockets - PHO Suns"
"40","HOU Rockets","PHO Suns","Spread Alternate","HOU Rockets","+11.5","-255","HOU Rockets - PHO Suns"
"41","HOU Rockets","PHO Suns","Spread Alternate","PHO Suns","-11","+175","HOU Rockets - PHO Suns"
"42","HOU Rockets","PHO Suns","Spread Alternate","HOU Rockets","+11","-240","HOU Rockets - PHO Suns"
"43","HOU Rockets","PHO Suns","Spread Alternate","PHO Suns","-10.5","+160","HOU Rockets - PHO Suns"
